Group,Image1,Image2,Image3,Image4,AudioFile,Adjective,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
A,church.png,raccoon.png,gps.png,tulip.png,shorttulip.mp3,short,4,practice,1054,1745,1054,2270
A,chocolatebar.png,mouse.png,longstraw.png,shortstraw.png,smallchocolatebar.mp3,small,1,practice,972,1748,972,2533
B,longscissors.png,shortscissors.png,orca.png,longnotepad.png,longscissors.mp3,long,1,critical with contrast,1011,1633,1011,2317
B,anchor.png,shortpeapod.png,shortbroom.png,cap.png,shortpeapod.mp3,short,2,critical no contrast,914,1526,914,2287
B,wateringcan.png,fatpig.png,fatbowlingpin.png,skinnybowlingpin.png,fatbowlingpin.mp3,fat,3,critical with contrast,1007,1689,1007,2353
B,talltree.png,crayon.png,teddybear.png,tallmug.png,tallmug.mp3,tall,4,critical no contrast,957,1507,957,2028
B,widechair.png,narrowchair.png,flashlight.png,widebottle.png,widechair.mp3,wide,1,critical with contrast,894,1519,894,1978
B,shortshell.png,longshell.png,longdart.png,lime.png,longshell.mp3,long,2,critical with contrast,1095,1611,1095,2160
B,volleyball.png,longsword.png,longwrench.png,camera.png,longwrench.mp3,long,3,critical no contrast,918,1390,918,2162
B,longnail.png,iron.png,ear.png,longbat.png,longbat.mp3,long,4,critical no contrast,1063,1766,1063,2213
B,longtoothbrush.png,eagle.png,pan.png,longdress.png,longtoothbrush.mp3,long,1,critical no contrast,972,1615,972,2446
B,longmarker.png,shortmarker.png,shortfork.png,seal.png,shortmarker.mp3,short,2,critical with contrast,935,1471,935,2015
B,globe.png,shortcandle.png,shortrocket.png,longrocket.png,shortrocket.mp3,short,3,critical with contrast,755,1278,755,1970
B,shorthammer.png,briefcase.png,tennisball.png,shorthockeystick.png,shorthockeystick.mp3,short,4,critical no contrast,942,1407,942,2317
B,fatpencil.png,skinnypencil.png,curtains.png,fatcat.png,fatpencil.mp3,fat,1,critical with contrast,1050,1769,1050,2316
B,firehydrant.png,shortwig.png,shortplunger.png,zebra.png,shortwig.mp3,short,2,critical no contrast,831,1376,831,1896
B,cupcake.png,skinnyman.png,skinnycandycane.png,fatcandycane.png,skinnycandycane.mp3,skinny,3,critical with contrast,1043,1631,1043,2431
B,skinnywoman.png,jellyfish.png,fatknife.png,skinnyknife.png,skinnyknife.mp3,skinny,4,critical with contrast,1073,1636,1073,2265
B,skinnytie.png,bee.png,sink.png,skinnydog.png,skinnytie.mp3,skinny,1,critical no contrast,876,1582,876,2046
B,guitar.png,widecolumn.png,widedoor.png,olives.png,widecolumn.mp3,wide,2,critical no contrast,921,1453,921,2012
B,balloon.png,thinstick.png,thinbandaid.png,octopus.png,thinbandaid.mp3,thin,3,critical no contrast,1033,1669,1033,2315
B,kite.png,pinecone.png,bigsuitcase.png,smallsuitcase.png,smallsuitcase.mp3,small,4,critical with contrast,856,1459,856,2424
